city,state,hour,day_of_week,is_weekend,road_type,lanes,traffic_signal,weather,visibility,temperature,traffic_density,cause,vehicles_involved,is_peak_hour,accident_severity
Delhi,Delhi,11,Monday,0,rural,3,1,rain,low,33,low,overspeeding,2,0,minor
Chennai,Tamil Nadu,13,Thursday,0,urban,4,0,fog,low,16,medium,drunk driving,3,0,major
Hyderabad,Telangana,14,Sunday,1,urban,6,0,clear,high,35,medium,overspeeding,1,0,minor
Mumbai,Maharashtra,2,Monday,0,highway,6,1,clear,high,31,high,poor road,3,0,major
Mumbai,Maharashtra,21,Monday,0,highway,1,1,rain,medium,37,high,drunk driving,3,0,major
Chandigarh,Punjab,14,Tuesday,0,highway,1,1,fog,low,23,medium,poor road,3,0,minor
Chandigarh,Punjab,9,Monday,0,highway,1,1,fog,low,29,high,distraction,5,1,major
Chennai,Tamil Nadu,7,Thursday,0,urban,3,1,rain,medium,34,low,distraction,5,0,minor
Bangalore,Karnataka,0,Sunday,1,highway,1,0,clear,high,40,low,distraction,3,0,minor
Chandigarh,Punjab,16,Tuesday,0,highway,4,1,clear,high,40,medium,weather,1,0,major
Chandigarh,Punjab,12,Wednesday,0,highway,6,1,rain,medium,29,medium,overspeeding,4,0,major
Hyderabad,Telangana,13,Monday,0,rural,2,1,clear,high,34,low,distraction,4,0,fatal
Mumbai,Maharashtra,20,Saturday,1,highway,2,0,clear,high,29,high,weather,5,0,minor
Chandigarh,Punjab,13,Monday,0,urban,2,0,clear,high,21,low,weather,3,0,minor
Pune,Maharashtra,13,Tuesday,0,urban,5,0,rain,low,36,low,overspeeding,3,0,major
Kolkata,West Bengal,0,Tuesday,0,urban,2,0,fog,low,34,low,poor road,1,0,fatal
Bangalore,Karnataka,15,Saturday,1,highway,6,0,fog,low,31,medium,drunk driving,1,0,minor
Pune,Maharashtra,3,Friday,0,rural,3,1,fog,low,18,low,overspeeding,3,0,major
Kolkata,West Bengal,3,Thursday,0,highway,6,0,rain,low,20,low,weather,2,0,major
Chennai,Tamil Nadu,19,Thursday,0,rural,5,1,rain,low,35,high,weather,3,1,major
Hyderabad,Telangana,19,Saturday,1,urban,6,0,rain,low,29,high,distraction,4,1,minor
Kolkata,West Bengal,5,Saturday,1,urban,6,0,fog,low,39,low,poor road,3,0,minor
Bangalore,Karnataka,0,Tuesday,0,rural,4,1,fog,low,32,low,weather,1,0,minor
Bangalore,Karnataka,22,Thursday,0,rural,2,1,fog,low,20,medium,overspeeding,5,0,major
Hyderabad,Telangana,5,Thursday,0,urban,2,0,rain,low,22,medium,distraction,3,0,fatal
Kolkata,West Bengal,19,Thursday,0,rural,4,1,clear,high,18,medium,overspeeding,3,1,minor
Kolkata,West Bengal,16,Wednesday,0,highway,5,0,fog,low,37,medium,poor road,3,0,major
Mumbai,Maharashtra,21,Thursday,0,highway,4,1,fog,low,29,high,poor road,4,0,minor
Pune,Maharashtra,3,Monday,0,highway,5,1,rain,low,31,low,overspeeding,1,0,major
Chandigarh,Punjab,7,Friday,0,rural,5,0,clear,high,27,medium,weather,5,0,minor
Delhi,Delhi,3,Saturday,1,urban,6,1,clear,high,16,low,overspeeding,4,0,major
Chandigarh,Punjab,19,Saturday,1,urban,2,0,fog,low,17,high,poor road,3,1,minor
Chandigarh,Punjab,16,Saturday,1,highway,6,0,fog,low,23,low,overspeeding,5,0,major
Mumbai,Maharashtra,4,Saturday,1,urban,1,1,rain,medium,17,low,drunk driving,2,0,minor
Chennai,Tamil Nadu,16,Wednesday,0,highway,2,1,rain,low,18,low,poor road,4,0,major
Hyderabad,Telangana,13,Wednesday,0,highway,4,1,fog,low,27,medium,weather,1,0,major
Hyderabad,Telangana,7,Sunday,1,rural,4,0,clear,high,24,low,distraction,4,0,minor
Chandigarh,Punjab,9,Thursday,0,urban,5,1,clear,high,19,low,distraction,5,1,minor
Chennai,Tamil Nadu,10,Thursday,0,rural,1,0,rain,medium,23,high,overspeeding,4,1,major
Bangalore,Karnataka,7,Thursday,0,highway,2,0,fog,low,39,high,overspeeding,3,0,major
Kolkata,West Bengal,2,Friday,0,highway,3,1,clear,high,33,medium,poor road,1,0,fatal
Hyderabad,Telangana,13,Sunday,1,highway,1,0,rain,low,35,low,drunk driving,1,0,major
Pune,Maharashtra,1,Friday,0,highway,2,1,fog,low,30,low,poor road,4,0,minor
Delhi,Delhi,8,Monday,0,highway,2,0,rain,low,28,medium,overspeeding,3,1,major
Bangalore,Karnataka,22,Friday,0,highway,3,1,fog,low,31,low,drunk driving,2,0,minor
Mumbai,Maharashtra,5,Monday,0,rural,4,1,fog,low,27,high,distraction,4,0,major
Bangalore,Karnataka,9,Wednesday,0,highway,2,1,fog,low,36,high,poor road,4,1,major
Delhi,Delhi,6,Sunday,1,highway,5,0,fog,low,19,high,weather,2,0,major
Chennai,Tamil Nadu,20,Wednesday,0,rural,6,0,rain,medium,21,low,weather,4,0,major
Hyderabad,Telangana,6,Friday,0,highway,3,0,fog,low,21,low,drunk driving,5,0,major
Chandigarh,Punjab,9,Sunday,1,urban,3,0,fog,low,27,medium,distraction,5,1,major
Mumbai,Maharashtra,6,Saturday,1,rural,1,0,fog,low,33,medium,poor road,5,0,minor
Mumbai,Maharashtra,0,Friday,0,rural,1,1,rain,low,21,high,overspeeding,4,0,major
Chennai,Tamil Nadu,17,Sunday,1,rural,4,1,fog,low,19,medium,overspeeding,3,1,major
Mumbai,Maharashtra,10,Sunday,1,highway,2,0,fog,low,31,low,distraction,4,1,major
Kolkata,West Bengal,18,Monday,0,rural,1,1,rain,medium,18,high,overspeeding,5,1,major
Bangalore,Karnataka,2,Tuesday,0,urban,6,0,fog,low,17,medium,poor road,1,0,minor
Kolkata,West Bengal,16,Friday,0,highway,5,0,fog,low,38,high,weather,5,0,major
Bangalore,Karnataka,17,Thursday,0,highway,1,1,fog,low,39,medium,overspeeding,2,1,major
Delhi,Delhi,16,Friday,0,rural,4,0,clear,high,17,low,poor road,5,0,minor
Hyderabad,Telangana,4,Thursday,0,highway,5,1,rain,low,27,medium,drunk driving,4,0,major
Hyderabad,Telangana,0,Wednesday,0,rural,3,0,clear,high,21,low,weather,3,0,minor
Chandigarh,Punjab,5,Wednesday,0,urban,2,0,clear,high,33,low,weather,2,0,minor
Mumbai,Maharashtra,18,Sunday,1,urban,4,1,fog,low,25,medium,drunk driving,2,1,minor
Delhi,Delhi,13,Tuesday,0,highway,5,1,rain,low,25,medium,weather,5,0,major
Chandigarh,Punjab,22,Friday,0,rural,5,1,fog,low,25,medium,weather,4,0,major
Chennai,Tamil Nadu,20,Sunday,1,rural,3,0,rain,low,27,low,weather,2,0,minor
Delhi,Delhi,22,Sunday,1,highway,2,0,rain,low,17,low,overspeeding,3,0,major
Hyderabad,Telangana,14,Saturday,1,rural,4,0,fog,low,33,high,distraction,4,0,major
Chennai,Tamil Nadu,1,Wednesday,0,highway,6,1,fog,low,16,low,overspeeding,3,0,major
Mumbai,Maharashtra,1,Saturday,1,urban,2,0,rain,medium,26,low,overspeeding,4,0,major
Pune,Maharashtra,15,Tuesday,0,highway,1,0,rain,medium,31,low,overspeeding,1,0,minor
Hyderabad,Telangana,18,Friday,0,rural,2,0,rain,low,29,low,poor road,5,1,major
Pune,Maharashtra,11,Wednesday,0,highway,5,1,clear,high,20,medium,poor road,5,0,minor
Chandigarh,Punjab,9,Wednesday,0,rural,5,1,rain,low,26,low,distraction,5,1,minor
Chennai,Tamil Nadu,9,Monday,0,urban,4,0,clear,high,21,medium,distraction,1,1,fatal
Pune,Maharashtra,8,Sunday,1,rural,1,1,clear,high,15,low,drunk driving,4,1,major
Delhi,Delhi,16,Saturday,1,rural,3,1,clear,high,28,medium,overspeeding,5,0,major
Hyderabad,Telangana,23,Tuesday,0,urban,3,1,clear,high,35,high,distraction,4,0,minor
Pune,Maharashtra,18,Tuesday,0,highway,2,0,rain,low,33,high,overspeeding,2,1,major
Pune,Maharashtra,18,Saturday,1,rural,2,1,fog,low,19,medium,drunk driving,5,1,major
Chandigarh,Punjab,6,Friday,0,highway,2,1,rain,low,34,high,overspeeding,3,0,major
Hyderabad,Telangana,10,Tuesday,0,highway,4,1,fog,low,36,high,overspeeding,4,1,major
Pune,Maharashtra,12,Tuesday,0,urban,6,1,fog,low,16,low,drunk driving,4,0,major
Chandigarh,Punjab,1,Monday,0,urban,2,0,clear,high,39,high,overspeeding,4,0,major
Hyderabad,Telangana,1,Thursday,0,rural,1,0,rain,low,30,low,distraction,4,0,minor
Chennai,Tamil Nadu,7,Saturday,1,urban,2,0,clear,high,19,medium,overspeeding,5,0,major
Mumbai,Maharashtra,18,Sunday,1,highway,3,0,fog,low,18,high,overspeeding,3,1,major
Chennai,Tamil Nadu,9,Saturday,1,rural,4,1,rain,low,24,high,distraction,2,1,minor
Chennai,Tamil Nadu,22,Sunday,1,rural,5,0,clear,high,17,low,overspeeding,3,0,minor
Hyderabad,Telangana,21,Sunday,1,rural,6,0,clear,high,17,medium,drunk driving,4,0,major
Mumbai,Maharashtra,8,Tuesday,0,urban,4,1,clear,high,20,high,poor road,3,1,fatal
Delhi,Delhi,7,Saturday,1,urban,1,1,clear,high,25,medium,overspeeding,5,0,major
Kolkata,West Bengal,1,Tuesday,0,rural,3,1,clear,high,36,medium,overspeeding,5,0,major
Mumbai,Maharashtra,11,Wednesday,0,urban,3,1,fog,low,16,high,poor road,2,0,fatal
Kolkata,West Bengal,8,Monday,0,urban,4,0,fog,low,39,high,poor road,3,1,minor
Chennai,Tamil Nadu,15,Friday,0,urban,4,1,clear,high,21,medium,weather,4,0,minor
Delhi,Delhi,15,Sunday,1,urban,2,0,rain,low,21,low,weather,3,0,major
Hyderabad,Telangana,12,Saturday,1,highway,4,0,rain,low,40,high,distraction,2,0,minor
Bangalore,Karnataka,0,Wednesday,0,highway,3,1,fog,low,23,low,poor road,5,0,major
Chandigarh,Punjab,16,Tuesday,0,rural,4,0,clear,high,16,medium,distraction,4,0,major
Chandigarh,Punjab,12,Saturday,1,urban,3,0,fog,low,22,low,drunk driving,2,0,fatal
Mumbai,Maharashtra,12,Saturday,1,highway,2,1,fog,low,19,low,poor road,5,0,minor
Chandigarh,Punjab,21,Saturday,1,rural,4,1,clear,high,27,medium,overspeeding,3,0,minor
Hyderabad,Telangana,12,Friday,0,rural,6,1,rain,low,36,high,poor road,1,0,minor
Kolkata,West Bengal,0,Monday,0,highway,3,1,rain,low,30,low,weather,1,0,major
Kolkata,West Bengal,14,Friday,0,urban,2,0,fog,low,22,high,distraction,3,0,minor
Delhi,Delhi,12,Thursday,0,highway,4,0,clear,high,21,medium,weather,4,0,major
Bangalore,Karnataka,7,Saturday,1,urban,5,0,rain,low,39,medium,drunk driving,1,0,minor
Chennai,Tamil Nadu,0,Monday,0,highway,3,0,rain,low,35,low,drunk driving,5,0,major
Chennai,Tamil Nadu,5,Sunday,1,highway,3,1,fog,low,28,low,distraction,5,0,major
Kolkata,West Bengal,2,Thursday,0,urban,3,0,rain,low,25,medium,distraction,3,0,fatal
Chennai,Tamil Nadu,23,Friday,0,rural,4,0,rain,medium,22,low,distraction,3,0,minor
Pune,Maharashtra,11,Saturday,1,rural,6,1,rain,medium,15,low,drunk driving,4,0,major
Chandigarh,Punjab,8,Monday,0,rural,1,1,rain,medium,40,medium,weather,5,1,major
Chennai,Tamil Nadu,11,Wednesday,0,highway,2,0,clear,high,26,medium,distraction,2,0,minor
Mumbai,Maharashtra,10,Thursday,0,rural,3,1,clear,high,30,medium,distraction,4,1,minor
Pune,Maharashtra,17,Monday,0,urban,5,0,clear,high,19,high,weather,3,1,major
Delhi,Delhi,8,Tuesday,0,urban,3,1,rain,low,18,high,weather,1,1,major
Chandigarh,Punjab,14,Wednesday,0,urban,6,1,clear,high,16,high,overspeeding,1,0,major
Delhi,Delhi,9,Friday,0,rural,4,0,rain,low,38,high,drunk driving,2,1,major
Kolkata,West Bengal,19,Sunday,1,highway,1,0,fog,low,32,high,distraction,2,1,minor
Hyderabad,Telangana,9,Thursday,0,urban,6,0,fog,low,33,medium,overspeeding,1,1,major
Hyderabad,Telangana,5,Wednesday,0,highway,6,1,fog,low,39,medium,weather,2,0,major
Chennai,Tamil Nadu,9,Sunday,1,highway,6,1,clear,high,34,medium,overspeeding,4,1,major
Chennai,Tamil Nadu,23,Sunday,1,rural,3,0,clear,high,30,low,overspeeding,5,0,major
Bangalore,Karnataka,13,Saturday,1,highway,3,1,rain,medium,17,medium,drunk driving,2,0,major
Chennai,Tamil Nadu,3,Friday,0,urban,1,0,rain,medium,38,low,weather,5,0,major
Delhi,Delhi,16,Sunday,1,rural,6,0,clear,high,34,medium,drunk driving,1,0,minor
Pune,Maharashtra,14,Tuesday,0,highway,3,1,rain,low,31,high,distraction,5,0,major
Kolkata,West Bengal,16,Friday,0,urban,6,0,fog,low,19,high,weather,1,0,major
Hyderabad,Telangana,0,Tuesday,0,urban,1,1,fog,low,29,low,overspeeding,3,0,major
Kolkata,West Bengal,22,Wednesday,0,highway,1,0,rain,medium,25,high,drunk driving,4,0,major
Chandigarh,Punjab,19,Saturday,1,highway,5,1,rain,low,29,high,poor road,3,1,major
Hyderabad,Telangana,18,Friday,0,urban,1,0,clear,high,39,high,distraction,1,1,minor
Pune,Maharashtra,23,Thursday,0,highway,4,1,fog,low,34,high,poor road,5,0,major
Mumbai,Maharashtra,19,Saturday,1,rural,5,0,rain,low,33,medium,weather,2,1,minor
Kolkata,West Bengal,1,Sunday,1,highway,1,1,clear,high,39,low,overspeeding,3,0,minor
Chennai,Tamil Nadu,23,Tuesday,0,rural,1,1,rain,low,18,high,drunk driving,3,0,major
Hyderabad,Telangana,22,Friday,0,rural,3,0,fog,low,23,high,poor road,1,0,minor
Chandigarh,Punjab,22,Wednesday,0,urban,6,0,fog,low,29,low,drunk driving,1,0,minor
Chandigarh,Punjab,20,Sunday,1,highway,3,1,rain,medium,25,high,weather,5,0,major
Chennai,Tamil Nadu,17,Monday,0,urban,2,0,clear,high,40,high,weather,4,1,major
Kolkata,West Bengal,17,Sunday,1,rural,4,0,clear,high,37,medium,drunk driving,4,1,major
Kolkata,West Bengal,10,Friday,0,rural,2,1,rain,low,18,high,overspeeding,2,1,major
Delhi,Delhi,20,Tuesday,0,highway,6,0,fog,low,39,medium,drunk driving,1,0,major
Chennai,Tamil Nadu,2,Tuesday,0,highway,6,1,rain,low,35,high,weather,2,0,major
Hyderabad,Telangana,15,Saturday,1,urban,4,1,clear,high,20,low,weather,3,0,minor
Kolkata,West Bengal,12,Friday,0,urban,4,1,clear,high,37,low,drunk driving,1,0,fatal
Delhi,Delhi,16,Sunday,1,highway,4,0,fog,low,26,medium,overspeeding,2,0,major
Delhi,Delhi,22,Friday,0,rural,2,0,clear,high,18,medium,distraction,5,0,minor
Pune,Maharashtra,5,Tuesday,0,urban,6,0,fog,low,31,medium,poor road,4,0,fatal
Bangalore,Karnataka,11,Sunday,1,urban,6,1,fog,low,21,medium,poor road,5,0,minor
Mumbai,Maharashtra,22,Tuesday,0,highway,5,1,rain,low,26,medium,overspeeding,5,0,major
Pune,Maharashtra,18,Tuesday,0,rural,4,1,clear,high,28,medium,overspeeding,5,1,major
Pune,Maharashtra,19,Tuesday,0,urban,2,1,rain,medium,23,medium,overspeeding,5,1,major
Pune,Maharashtra,8,Saturday,1,rural,1,0,fog,low,22,medium,weather,3,1,minor
Pune,Maharashtra,6,Tuesday,0,rural,2,1,clear,high,22,medium,distraction,5,0,minor
Chennai,Tamil Nadu,19,Friday,0,urban,3,1,fog,low,38,high,poor road,3,1,minor
Chennai,Tamil Nadu,1,Thursday,0,rural,2,1,clear,high,23,low,distraction,1,0,fatal
Chennai,Tamil Nadu,2,Wednesday,0,highway,4,0,rain,medium,37,low,distraction,3,0,major
Mumbai,Maharashtra,5,Tuesday,0,urban,1,1,rain,low,18,medium,poor road,2,0,fatal
Kolkata,West Bengal,16,Wednesday,0,urban,2,1,rain,low,36,low,overspeeding,4,0,major
Kolkata,West Bengal,13,Tuesday,0,rural,5,0,rain,low,34,high,drunk driving,4,0,major
Mumbai,Maharashtra,1,Tuesday,0,urban,5,1,rain,low,23,low,poor road,1,0,fatal
Bangalore,Karnataka,18,Wednesday,0,highway,5,1,clear,high,25,high,distraction,3,1,major
Delhi,Delhi,11,Tuesday,0,rural,4,0,rain,medium,31,high,distraction,2,0,minor
Delhi,Delhi,15,Tuesday,0,rural,4,0,rain,medium,27,medium,overspeeding,5,0,major
Hyderabad,Telangana,12,Saturday,1,urban,5,1,fog,low,27,high,drunk driving,4,0,minor
Mumbai,Maharashtra,2,Wednesday,0,rural,5,0,clear,high,16,medium,poor road,1,0,fatal
Chennai,Tamil Nadu,1,Sunday,1,rural,6,0,rain,low,20,medium,overspeeding,1,0,major
Delhi,Delhi,5,Saturday,1,highway,2,0,fog,low,27,medium,weather,4,0,major
Mumbai,Maharashtra,10,Tuesday,0,highway,4,0,rain,low,30,high,distraction,1,1,major
Chandigarh,Punjab,18,Thursday,0,rural,5,1,fog,low,20,high,distraction,1,1,major
Mumbai,Maharashtra,21,Monday,0,urban,3,0,clear,high,37,medium,distraction,3,0,fatal
Chennai,Tamil Nadu,12,Monday,0,rural,5,0,clear,high,28,high,weather,5,0,major
Bangalore,Karnataka,18,Thursday,0,highway,2,1,fog,low,21,high,poor road,5,1,major
Kolkata,West Bengal,10,Friday,0,urban,3,0,rain,medium,24,medium,distraction,4,1,minor
Delhi,Delhi,2,Saturday,1,highway,4,1,rain,medium,15,low,overspeeding,2,0,major
Chandigarh,Punjab,12,Wednesday,0,highway,2,0,fog,low,21,high,drunk driving,3,0,major
Kolkata,West Bengal,5,Monday,0,urban,2,0,rain,medium,37,high,overspeeding,3,0,major
Hyderabad,Telangana,3,Tuesday,0,highway,6,1,rain,medium,36,low,overspeeding,4,0,major
Kolkata,West Bengal,2,Saturday,1,highway,5,1,fog,low,31,medium,weather,5,0,major
Hyderabad,Telangana,5,Wednesday,0,rural,4,1,rain,low,36,low,drunk driving,4,0,major
Bangalore,Karnataka,0,Saturday,1,rural,6,1,clear,high,33,high,distraction,1,0,fatal
Bangalore,Karnataka,20,Wednesday,0,urban,2,0,rain,medium,38,low,weather,2,0,fatal
Kolkata,West Bengal,20,Thursday,0,rural,2,1,fog,low,39,medium,weather,4,0,minor
Chandigarh,Punjab,13,Friday,0,urban,1,0,fog,low,26,medium,overspeeding,5,0,minor
Pune,Maharashtra,0,Monday,0,highway,3,1,fog,low,27,medium,distraction,1,0,minor
Kolkata,West Bengal,8,Sunday,1,highway,4,0,fog,low,16,high,drunk driving,5,1,major
Kolkata,West Bengal,6,Monday,0,rural,2,1,fog,low,34,medium,weather,1,0,minor
Hyderabad,Telangana,9,Saturday,1,urban,1,1,clear,high,30,high,drunk driving,4,1,minor
Chennai,Tamil Nadu,19,Tuesday,0,rural,1,0,fog,low,29,medium,weather,1,1,minor
Chennai,Tamil Nadu,19,Wednesday,0,highway,5,1,fog,low,37,high,overspeeding,4,1,major
Pune,Maharashtra,9,Sunday,1,rural,2,1,fog,low,16,high,overspeeding,2,1,major
Kolkata,West Bengal,5,Saturday,1,highway,5,1,fog,low,18,high,drunk driving,3,0,major
Mumbai,Maharashtra,2,Thursday,0,rural,5,1,fog,low,28,low,overspeeding,4,0,major
Bangalore,Karnataka,11,Tuesday,0,urban,5,0,clear,high,40,high,distraction,4,0,major
Mumbai,Maharashtra,9,Monday,0,highway,6,0,fog,low,26,high,drunk driving,4,1,major
Chandigarh,Punjab,13,Thursday,0,urban,4,1,clear,high,31,medium,distraction,5,0,major
Pune,Maharashtra,13,Monday,0,rural,6,0,fog,low,32,low,poor road,2,0,fatal
Chennai,Tamil Nadu,6,Sunday,1,rural,2,0,fog,low,28,low,distraction,2,0,fatal
Mumbai,Maharashtra,4,Sunday,1,urban,1,1,fog,low,16,low,poor road,4,0,minor
Chennai,Tamil Nadu,0,Tuesday,0,urban,2,1,clear,high,24,medium,poor road,1,0,fatal
Kolkata,West Bengal,21,Wednesday,0,rural,4,1,clear,high,35,medium,weather,3,0,minor
Chennai,Tamil Nadu,22,Tuesday,0,highway,1,0,clear,high,20,medium,poor road,2,0,fatal
Chennai,Tamil Nadu,11,Friday,0,highway,1,1,clear,high,19,medium,poor road,1,0,fatal
Kolkata,West Bengal,13,Saturday,1,rural,1,0,fog,low,27,medium,distraction,2,0,fatal
Chandigarh,Punjab,7,Friday,0,urban,1,0,rain,low,33,medium,overspeeding,4,0,minor
Kolkata,West Bengal,23,Monday,0,urban,2,0,fog,low,31,low,drunk driving,3,0,major
Chennai,Tamil Nadu,14,Tuesday,0,rural,3,0,fog,low,20,medium,distraction,3,0,minor
Bangalore,Karnataka,22,Wednesday,0,rural,6,0,rain,low,27,high,weather,3,0,minor
Chandigarh,Punjab,0,Monday,0,urban,3,0,clear,high,35,low,poor road,5,0,minor
Kolkata,West Bengal,19,Wednesday,0,rural,6,1,fog,low,18,low,poor road,4,1,major
Bangalore,Karnataka,7,Sunday,1,highway,1,0,fog,low,20,high,distraction,5,0,major
Chandigarh,Punjab,10,Wednesday,0,highway,3,0,clear,high,38,high,drunk driving,4,1,major
Hyderabad,Telangana,9,Friday,0,urban,2,0,fog,low,16,low,distraction,4,1,fatal
Chandigarh,Punjab,4,Sunday,1,urban,1,1,fog,low,30,medium,drunk driving,2,0,minor
Mumbai,Maharashtra,12,Saturday,1,rural,6,0,fog,low,39,medium,overspeeding,2,0,major
Mumbai,Maharashtra,0,Tuesday,0,rural,6,0,clear,high,38,low,distraction,3,0,fatal
Chandigarh,Punjab,13,Wednesday,0,urban,1,0,fog,low,23,high,drunk driving,5,0,major
Chandigarh,Punjab,22,Wednesday,0,urban,2,0,fog,low,37,low,poor road,3,0,fatal
Mumbai,Maharashtra,3,Tuesday,0,rural,4,0,rain,medium,38,low,distraction,1,0,fatal
Chandigarh,Punjab,19,Friday,0,urban,3,0,clear,high,33,medium,drunk driving,3,1,major
Delhi,Delhi,3,Monday,0,urban,1,1,rain,medium,39,low,distraction,1,0,fatal
Delhi,Delhi,14,Saturday,1,rural,6,0,clear,high,39,medium,poor road,4,0,major
Mumbai,Maharashtra,5,Thursday,0,rural,1,1,clear,high,18,low,overspeeding,3,0,minor
Chennai,Tamil Nadu,19,Friday,0,rural,1,1,rain,medium,28,medium,weather,2,1,minor
Pune,Maharashtra,11,Tuesday,0,rural,4,0,fog,low,32,medium,weather,3,0,minor
Kolkata,West Bengal,11,Friday,0,urban,6,0,rain,low,34,low,weather,2,0,minor
Mumbai,Maharashtra,13,Thursday,0,urban,4,1,fog,low,37,low,poor road,2,0,fatal
Chennai,Tamil Nadu,14,Wednesday,0,rural,1,0,rain,medium,19,high,drunk driving,3,0,major
Mumbai,Maharashtra,6,Tuesday,0,highway,2,1,rain,low,33,high,drunk driving,1,0,major
Delhi,Delhi,10,Saturday,1,highway,1,1,clear,high,34,high,overspeeding,1,1,major
Hyderabad,Telangana,21,Wednesday,0,rural,6,1,rain,low,25,high,weather,5,0,major
Delhi,Delhi,14,Monday,0,urban,6,1,clear,high,23,low,weather,3,0,major
Delhi,Delhi,5,Wednesday,0,highway,3,0,clear,high,21,high,distraction,1,0,fatal
Delhi,Delhi,13,Monday,0,urban,6,0,clear,high,36,high,distraction,3,0,minor
Bangalore,Karnataka,15,Tuesday,0,highway,5,1,fog,low,24,low,weather,3,0,minor
Delhi,Delhi,1,Saturday,1,urban,1,1,rain,medium,24,medium,weather,4,0,major
Chandigarh,Punjab,8,Tuesday,0,rural,3,0,fog,low,39,high,distraction,5,1,major
Chandigarh,Punjab,8,Thursday,0,highway,5,1,rain,low,16,high,weather,3,1,major
Mumbai,Maharashtra,0,Sunday,1,urban,5,0,rain,low,16,low,weather,4,0,major
Hyderabad,Telangana,2,Wednesday,0,highway,2,1,rain,medium,26,medium,overspeeding,4,0,major
Hyderabad,Telangana,3,Sunday,1,urban,3,1,fog,low,17,medium,distraction,4,0,minor
Kolkata,West Bengal,7,Sunday,1,highway,3,0,rain,low,39,high,weather,1,0,minor
Mumbai,Maharashtra,10,Thursday,0,highway,4,0,rain,medium,35,high,poor road,4,1,minor
Kolkata,West Bengal,22,Tuesday,0,urban,3,0,clear,high,40,low,poor road,1,0,fatal
Pune,Maharashtra,14,Monday,0,urban,2,0,clear,high,38,medium,weather,5,0,minor
Bangalore,Karnataka,11,Sunday,1,urban,3,1,rain,low,24,high,weather,2,0,minor
Pune,Maharashtra,9,Sunday,1,highway,2,1,rain,low,33,high,overspeeding,4,1,major
Mumbai,Maharashtra,16,Thursday,0,highway,6,0,clear,high,33,high,overspeeding,1,0,major
Chennai,Tamil Nadu,23,Tuesday,0,urban,5,1,clear,high,35,low,distraction,5,0,minor
Chennai,Tamil Nadu,13,Monday,0,rural,5,0,fog,low,17,low,poor road,5,0,major
Hyderabad,Telangana,2,Sunday,1,highway,3,0,rain,medium,17,low,distraction,5,0,minor
Chennai,Tamil Nadu,3,Tuesday,0,rural,6,1,clear,high,31,low,drunk driving,3,0,major
Chennai,Tamil Nadu,19,Saturday,1,rural,1,0,fog,low,24,medium,poor road,3,1,minor
Chandigarh,Punjab,7,Friday,0,rural,3,0,clear,high,24,low,distraction,3,0,fatal
Chandigarh,Punjab,1,Sunday,1,highway,3,1,rain,low,15,low,drunk driving,2,0,major
Delhi,Delhi,20,Monday,0,highway,6,1,fog,low,24,high,overspeeding,1,0,major
Bangalore,Karnataka,5,Monday,0,highway,4,0,fog,low,32,medium,overspeeding,3,0,major
Mumbai,Maharashtra,5,Friday,0,highway,4,1,clear,high,28,low,poor road,1,0,fatal
Mumbai,Maharashtra,18,Saturday,1,highway,5,1,rain,low,24,low,weather,3,1,minor
Pune,Maharashtra,11,Tuesday,0,urban,3,0,clear,high,22,high,distraction,5,0,minor
Mumbai,Maharashtra,1,Sunday,1,rural,1,0,fog,low,36,low,poor road,4,0,fatal
Mumbai,Maharashtra,8,Saturday,1,urban,3,0,rain,low,22,medium,overspeeding,5,1,major
Kolkata,West Bengal,8,Sunday,1,highway,6,1,clear,high,35,medium,drunk driving,5,1,major
Delhi,Delhi,19,Saturday,1,highway,3,0,fog,low,23,high,poor road,5,1,major
Bangalore,Karnataka,7,Friday,0,urban,4,0,fog,low,33,low,weather,1,0,fatal
Pune,Maharashtra,13,Sunday,1,rural,2,0,clear,high,37,medium,drunk driving,3,0,minor
Mumbai,Maharashtra,17,Friday,0,rural,4,1,fog,low,37,medium,weather,5,1,major
Hyderabad,Telangana,0,Friday,0,highway,4,1,rain,medium,16,low,overspeeding,5,0,major
Pune,Maharashtra,18,Thursday,0,highway,5,1,rain,low,24,medium,weather,1,1,minor
Chennai,Tamil Nadu,7,Wednesday,0,highway,1,0,fog,low,30,low,distraction,5,0,major
Mumbai,Maharashtra,12,Wednesday,0,urban,4,0,rain,medium,29,medium,poor road,5,0,minor
Kolkata,West Bengal,0,Sunday,1,highway,5,1,clear,high,40,low,distraction,4,0,fatal
Chandigarh,Punjab,21,Saturday,1,urban,1,1,fog,low,29,low,poor road,1,0,minor
Pune,Maharashtra,15,Tuesday,0,rural,5,1,rain,low,23,low,weather,1,0,fatal
Pune,Maharashtra,0,Wednesday,0,highway,3,0,rain,medium,24,low,weather,2,0,minor
Pune,Maharashtra,16,Wednesday,0,rural,1,0,fog,low,32,medium,distraction,3,0,major
Chandigarh,Punjab,0,Saturday,1,rural,6,1,clear,high,30,low,weather,4,0,minor
Mumbai,Maharashtra,1,Friday,0,urban,6,1,rain,medium,28,high,overspeeding,2,0,major
Bangalore,Karnataka,21,Monday,0,rural,1,0,clear,high,31,high,drunk driving,3,0,fatal
Pune,Maharashtra,11,Thursday,0,highway,6,0,rain,low,15,medium,distraction,4,0,major
Mumbai,Maharashtra,14,Sunday,1,rural,4,1,clear,high,39,high,overspeeding,3,0,major
